activity_name,product_name,geography,time_period,sector,unit,cas_number
"heat and power co-generation unit construction, organic Rankine cycle, 3MW electrical","heat and power co-generation unit, organic Rankine cycle, 3MW electrical",GLO,2008 - 2025,Infrastructure & Machinery; Heat; Electricity,unit,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",AT,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",AT,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",AU,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",AU,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",BE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",BE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",BG,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",BG,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CA-AB,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CA-AB,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CA-NB,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CA-NB,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CA-NS,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CA-NS,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CA-ON,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CA-ON,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CA-PE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CA-PE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CA-QC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CA-QC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CH,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CH,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CL,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CL,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CY,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CY,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",CZ,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",CZ,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",DE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",DE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",DK,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",DK,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",EE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",EE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",ES,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",ES,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",FI,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",FI,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",FR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",FR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",GB,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",GB,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",GR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",GR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",HR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",HR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",HU,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",HU,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",ID,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",ID,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",IE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",IE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",IR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",IR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",IT,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",IT,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",KR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",KR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",LT,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",LT,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",LU,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",LU,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",LV,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",LV,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",MX,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",MX,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",MY,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",MY,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",NL,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",NL,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",NO,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",NO,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",PE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",PE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",PL,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",PL,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",PT,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",PT,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",RO,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",RO,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",RoW,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",RoW,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",RS,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",RS,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",SE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",SE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",SI,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",SI,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",SK,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",SK,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",TH,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",TH,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",TR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",TR,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",TW,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",TW,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",US-HICC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",US-HICC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",US-MRO,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",US-MRO,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",US-NPCC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",US-NPCC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",US-RFC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",US-RFC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",US-SERC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",US-SERC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",US-TRE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",US-TRE,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine","heat, central or small-scale, other than natural gas",US-WECC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, biogas, gas engine","electricity, high voltage",US-WECC,2007 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine, renewable energy products","electricity, high voltage, renewable energy products",CH,2010 - 2025,Waste Treatment & Recycling; Heat; Electricity,kWh,
"heat and power co-generation, biogas, gas engine, renewable energy products","heat, central or small-scale, other than natural gas",CH,2010 - 2025,Waste Treatment & Recycling; Heat; Electricity,MJ,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","electricity, high voltage",BR-North-eastern grid,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","heat, district or industrial, other than natural gas",BR-North-eastern grid,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","electricity, high voltage",BR-Northern grid,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","heat, district or industrial, other than natural gas",BR-Northern grid,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","heat, district or industrial, other than natural gas",BR-South-eastern/Mid-western grid,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","electricity, high voltage",BR-South-eastern/Mid-western grid,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","heat, district or industrial, other than natural gas",BR-Southern grid,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","electricity, high voltage",BR-Southern grid,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","heat, district or industrial, other than natural gas",CH,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","electricity, high voltage",CH,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","heat, district or industrial, other than natural gas",RoW,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, diesel, 200kW electrical, SCR-NOx reduction","electricity, high voltage",RoW,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","electricity, high voltage",AT,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",AT,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",BG,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",BG,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",CO,2014 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",CO,2014 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",CZ,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",CZ,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",DE,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",DE,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","electricity, high voltage",DK,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",DK,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",FI,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",FI,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","electricity, high voltage",IT,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",IT,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",KR,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",KR,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",NL,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",NL,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",NO,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",NO,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","electricity, high voltage",PL,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",PL,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",RoW,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",RoW,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",RU,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",RU,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",SE,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",SE,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",SK,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",SK,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",TR,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",TR,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",TW,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",TW,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, hard coal","heat, district or industrial, other than natural gas",UA,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, hard coal","electricity, high voltage",UA,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",AU,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",AU,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",BA,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",BA,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","electricity, high voltage",BG,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",BG,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",CZ,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",CZ,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",DE,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",DE,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",GR,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",GR,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","electricity, high voltage",HU,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",HU,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",PL,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",PL,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",RO,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",RO,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","electricity, high voltage",RoW,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",RoW,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",RS,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",RS,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","electricity, high voltage",RU,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",RU,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",SI,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",SI,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",SK,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",SK,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, lignite","heat, district or industrial, other than natural gas",TR,1980 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, lignite","electricity, high voltage",TR,1980 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg","electricity, low voltage",CH,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg","heat, central or small-scale, natural gas, Jakobsberg",CH,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg","heat, central or small-scale, natural gas, Jakobsberg",RoW,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 160kW electrical, Jakobsberg","electricity, low voltage",RoW,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 160kW electrical, lambda=1","heat, central or small-scale, natural gas",CH,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 160kW electrical, lambda=1","electricity, low voltage",CH,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 160kW electrical, lambda=1","electricity, low voltage",Europe without Switzerland,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 160kW electrical, lambda=1","heat, central or small-scale, natural gas",Europe without Switzerland,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 160kW electrical, lambda=1","electricity, low voltage",RoW,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 160kW electrical, lambda=1","heat, central or small-scale, natural gas",RoW,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 1MW electrical, lean burn","heat, district or industrial, natural gas",CH,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 1MW electrical, lean burn","electricity, high voltage",CH,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 1MW electrical, lean burn","heat, district or industrial, natural gas",Europe without Switzerland,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 1MW electrical, lean burn","electricity, high voltage",Europe without Switzerland,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 1MW electrical, lean burn","heat, district or industrial, natural gas",RoW,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 1MW electrical, lean burn","electricity, high voltage",RoW,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 200kW electrical, lean burn","heat, district or industrial, natural gas",CH,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 200kW electrical, lean burn","electricity, high voltage",CH,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 200kW electrical, lean burn","heat, district or industrial, natural gas",RoW,2000 - 2025,Heat; Electricity,MJ,
"heat and power co-generation, natural gas, 200kW electrical, lean burn","electricity, high voltage",RoW,2000 - 2025,Heat; Electricity,kWh,
"heat and power co-generation, natural gas, 500kW electrical, lean burn","heat, district or industrial, natural gas",CH,2000 - 2025,Heat; Electricity,MJ,
